Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","21515","Fat, goats","2018","2018","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","21515","Fat, goats","2014","2014","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","21515","Fat, goats","2015","2015","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","21515","Fat, goats","2016","2016","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","21515","Fat, goats","2017","2017","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","21515","Fat, goats","2018","2018","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","21515","Fat, goats","2014","2014","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","21515","Fat, goats","2015","2015","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","21515","Fat, goats","2016","2016","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","21515","Fat, goats","2017","2017","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","21515","Fat, goats","2018","2018","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","21515","Fat, goats","2014","2014","million kcal","11225","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","21515","Fat, goats","2015","2015","million kcal","11121","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","21515","Fat, goats","2016","2016","million kcal","11161","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","21515","Fat, goats","2017","2017","million kcal","11230","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","21515","Fat, goats","2018","2018","million kcal","11251","Fc","Calculated data"
